,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 2, 1, 1, 1, 1)",215039,257510,261297,264666,267656,270299,272628,274670,276448,277984,279299,280409,281330,282075
"Z(1, 2, 1, 1, 1, 2)",215039,257510,261057,264484,267794,270989,274071,277043,279907,282664,285317,287869,290320,292674
"Z(1, 2, 1, 1, 2, 0)",215039,257510,258240,258835,259307,259668,259927,260094,260176,260180,260113,259979,259784,259532
"Z(1, 2, 1, 1, 2, 1)",215039,257510,261421,264877,267929,270617,272980,275050,276856,278424,279777,280933,281910,282725
"Z(1, 2, 1, 1, 2, 2)",215039,257510,259632,261465,263058,264449,265669,266747,267704,268561,269334,270034,270674,271264
"Z(1, 2, 1, 1, 3, 0)",215039,257510,261348,265004,268495,271831,275026,278090,281031,283859,286580,289201,291729,294168
"Z(1, 2, 1, 1, 3, 1)",215039,257510,261893,265649,268869,271614,273946,275915,277565,278934,280054,280953,281656,282186
"Z(1, 2, 1, 1, 3, 2)",215039,257510,260086,262353,264364,266159,267776,269245,270592,271838,273003,274102,275149,276154
"Z(2, 0, 0, 1, 0, 0)",215039,257510,251204,245110,239215,233510,227985,222632,217444,212411,207529,202789,198186,193714
"Z(2, 0, 0, 1, 0, 1)",215039,257510,248664,240310,232401,224900,217773,210989,204522,198348,192445,186794,181378,176182
"Z(2, 0, 0, 1, 0, 2)",215039,257510,255969,254412,252841,251254,249655,248044,246422,244790,243148,241499,239842,238178
"Z(2, 0, 0, 1, 1, 0)",215039,257510,251218,245142,239272,233597,228108,222795,217651,212667,207837,203153,198609,194200
"Z(2, 0, 0, 1, 1, 1)",215039,257510,250563,243901,237504,231356,225441,219743,214251,208953,203838,198895,194117,189495
"Z(2, 0, 0, 1, 1, 2)",215039,257510,253629,249817,246072,242392,238777,235223,231731,228298,224923,221605,218342,215134
"Z(2, 0, 0, 1, 2, 0)",215039,257510,251389,245469,239740,234193,228819,223611,218560,213661,208905,204289,199805,195448
"Z(2, 0, 0, 1, 2, 1)",215039,257510,249294,241451,233952,226774,219896,213297,206960,200869,195010,189370,183937,178699
"Z(2, 0, 0, 1, 2, 2)",215039,257510,247520,238058,229082,220553,212439,204710,197339,190302,183577,177145,170987,165088
"Z(2, 0, 0, 1, 3, 0)",215039,257510,250472,243696,237170,230881,224817,218968,213324,207876,202615,197533,192621,187873
"Z(2, 0, 0, 1, 3, 1)",215039,257510,246505,236144,226369,217132,208390,200104,192239,184763,177651,170877,164418,158254
