,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 0, 0, 1, 3, 0)",8303,8440,8566,8683,8790,8888,8978,9061,9137,9206,9269,9326,9377
"Z(1, 0, 0, 1, 3, 1)",8303,8421,8517,8596,8660,8710,8747,8774,8792,8800,8801,8795,8783
"Z(1, 0, 0, 1, 3, 2)",8303,8673,9021,9351,9663,9959,10241,10508,10763,11006,11237,11457,11668
"Z(1, 0, 1, 0, 0, 0)",8262,8229,8188,8142,8090,8033,7973,7910,7844,7776,7706,7635,7564
"Z(1, 0, 1, 0, 0, 1)",8262,8306,8323,8316,8290,8248,8191,8123,8045,7959,7866,7767,7664
"Z(1, 0, 1, 0, 0, 2)",8262,8264,8261,8252,8239,8221,8199,8174,8146,8115,8081,8044,8006
"Z(1, 0, 1, 0, 1, 0)",8262,8364,8455,8536,8607,8670,8725,8772,8812,8845,8872,8892,8908
"Z(1, 0, 1, 0, 1, 1)",8262,8129,8000,7874,7751,7631,7514,7400,7288,7178,7070,6964,6860
"Z(1, 0, 1, 0, 1, 2)",8262,8252,8243,8234,8224,8215,8205,8195,8184,8174,8162,8150,8138
"Z(1, 0, 1, 0, 2, 0)",8262,8330,8391,8445,8492,8533,8569,8599,8624,8645,8661,8673,8682
"Z(1, 0, 1, 0, 2, 1)",8262,8289,8296,8287,8263,8228,8182,8128,8066,7998,7924,7846,7764
"Z(1, 0, 1, 0, 2, 2)",8262,8528,8772,8995,9200,9388,9560,9717,9860,9991,10111,10219,10318
"Z(1, 0, 1, 0, 3, 0)",8262,8447,8622,8789,8948,9098,9242,9379,9509,9633,9751,9864,9971
"Z(1, 0, 1, 0, 3, 1)",8262,8381,8480,8562,8628,8681,8721,8752,8773,8785,8789,8787,8779
"Z(1, 0, 1, 0, 3, 2)",8262,8684,9089,9478,9853,10214,10564,10902,11229,11547,11855,12155,12446
"Z(1, 0, 1, 1, 0, 0)",8352,8337,8314,8284,8247,8205,8157,8105,8048,7988,7925,7858,7790
"Z(1, 0, 1, 1, 0, 1)",8352,8397,8414,8408,8383,8340,8284,8215,8137,8051,7957,7857,7753
"Z(1, 0, 1, 1, 0, 2)",8352,8374,8390,8401,8406,8406,8402,8395,8383,8368,8350,8330,8306
"Z(1, 0, 1, 1, 1, 0)",8352,8475,8587,8688,8780,8864,8938,9005,9064,9116,9161,9200,9233
"Z(1, 0, 1, 1, 1, 1)",8352,8218,8088,7962,7838,7718,7600,7485,7372,7262,7154,7047,6943
"Z(1, 0, 1, 1, 1, 2)",8352,8364,8375,8386,8397,8407,8417,8426,8434,8442,8449,8455,8461
"Z(1, 0, 1, 1, 2, 0)",8352,8441,8522,8595,8662,8723,8778,8827,8871,8910,8945,8975,9001
"Z(1, 0, 1, 1, 2, 1)",8352,8380,8388,8379,8356,8321,8275,8221,8159,8091,8017,7939,7857
"Z(1, 0, 1, 1, 2, 2)",8352,8643,8912,9161,9391,9605,9802,9985,10155,10311,10456,10590,10714
"Z(1, 0, 1, 1, 3, 0)",8352,8562,8764,8957,9142,9319,9489,9653,9810,9961,10106,10245,10380
"Z(1, 0, 1, 1, 3, 1)",8352,8473,8574,8658,8726,8780,8822,8854,8876,8890,8896,8895,8887
"Z(1, 0, 1, 1, 3, 2)",8352,8805,9242,9665,10075,10472,10858,11234,11600,11957,12306,12646,12978
"Z(1, 1, 0, 1, 0, 0)",8303,8492,8665,8825,8969,9099,9215,9318,9407,9484,9549,9602,9644
"Z(1, 1, 0, 1, 0, 1)",8303,9001,9673,10314,10924,11500,12042,12551,13027,13470,13881,14261,14611
"Z(1, 1, 0, 1, 0, 2)",8303,8423,8530,8626,8710,8782,8844,8896,8937,8969,8993,9008,9014
"Z(1, 1, 0, 1, 1, 0)",8303,8672,9031,9380,9718,10044,10359,10660,10950,11227,11491,11743,11982
"Z(1, 1, 0, 1, 1, 1)",8303,8768,9229,9686,10138,10583,11022,11452,11874,12288,12692,13087,13472
"Z(1, 1, 0, 1, 1, 2)",8303,8311,8320,8332,8345,8359,8375,8391,8408,8425,8443,8460,8478
"Z(1, 1, 0, 1, 2, 0)",8303,8629,8946,9256,9557,9849,10131,10404,10667,10921,11166,11401,11626
"Z(1, 1, 0, 1, 2, 1)",8303,9173,10028,10863,11676,12465,13231,13971,14686,15376,16041,16680,17295
"Z(1, 1, 0, 1, 2, 2)",8303,8856,9383,9884,10360,10811,11238,11641,12022,12382,12720,13038,13337
"Z(1, 1, 0, 1, 3, 0)",8303,8803,9300,9794,10284,10769,11249,11722,12190,12650,13104,13551,13990
"Z(1, 1, 0, 1, 3, 1)",8303,9384,10475,11569,12663,13754,14841,15920,16991,18053,19105,20146,21176
"Z(1, 1, 0, 1, 3, 2)",8303,9093,9871,10637,11389,12127,12851,13560,14255,14936,15603,16256,16895
"Z(1, 1, 1, 0, 0, 0)",8262,8491,8707,8909,9098,9274,9436,9585,9721,9845,9957,10058,10148
"Z(1, 1, 1, 0, 0, 1)",8262,8962,9637,10284,10899,11482,12033,12551,13036,13490,13912,14303,14665
"Z(1, 1, 1, 0, 0, 2)",8262,8434,8598,8752,8897,9033,9159,9276,9385,9484,9575,9658,9734
"Z(1, 1, 1, 0, 1, 0)",8262,8675,9081,9481,9872,10255,10628,10992,11345,11688,12021,12342,12654
"Z(1, 1, 1, 0, 1, 1)",8262,8730,9195,9658,10116,10569,11015,11455,11888,12313,12729,13137,13536
"Z(1, 1, 1, 0, 1, 2)",8262,8317,8374,8435,8497,8562,8629,8697,8767,8838,8910,8983,9056
"Z(1, 1, 1, 0, 2, 0)",8262,8630,8995,9354,9707,10053,10393,10726,11051,11369,11679,11982,12277
"Z(1, 1, 1, 0, 2, 1)",8262,9134,9992,10833,11653,12452,13227,13979,14707,15412,16092,16748,17381
"Z(1, 1, 1, 0, 2, 2)",8262,8876,9472,10051,10611,11152,11674,12179,12665,13134,13586,14022,14442
"Z(1, 1, 1, 0, 3, 0)",8262,8814,9370,9928,10488,11048,11608,12167,12725,13281,13835,14387,14936
"Z(1, 1, 1, 0, 3, 1)",8262,9345,10441,11542,12646,13750,14850,15946,17036,18119,19193,20259,21316
"Z(1, 1, 1, 0, 3, 2)",8262,9127,9995,10861,11725,12586,13444,14297,15146,15991,16830,17665,18494
"Z(1, 1, 1, 1, 0, 0)",8352,8603,8842,9067,9279,9478,9663,9835,9994,10140,10274,10397,10507
"Z(1, 1, 1, 1, 0, 1)",8352,9060,9745,10400,11024,11617,12177,12704,13198,13660,14091,14491,14862
"Z(1, 1, 1, 1, 0, 2)",8352,8546,8734,8913,9085,9248,9403,9550,9688,9818,9940,10054,10161
"Z(1, 1, 1, 1, 1, 0)",8352,8790,9224,9652,10073,10486,10890,11286,11672,12048,12415,12772,13118
"Z(1, 1, 1, 1, 1, 1)",8352,8826,9298,9767,10232,10693,11147,11595,12036,12470,12895,13312,13720
"Z(1, 1, 1, 1, 1, 2)",8352,8429,8509,8592,8678,8766,8856,8948,9042,9137,9234,9332,9430
"Z(1, 1, 1, 1, 2, 0)",8352,8746,9136,9522,9903,10279,10648,11012,11368,11718,12062,12398,12727
"Z(1, 1, 1, 1, 2, 1)",8352,9234,10104,10955,11788,12598,13387,14151,14893,15610,16304,16974,17621
"Z(1, 1, 1, 1, 2, 2)",8352,8995,9625,10240,10840,11424,11992,12545,13081,13603,14109,14600,15077
"Z(1, 1, 1, 1, 3, 0)",8352,8936,9526,10120,10718,11319,11921,12525,13129,13734,14338,14942,15545
"Z(1, 1, 1, 1, 3, 1)",8352,9448,10558,11675,12795,13915,15034,16148,17257,18360,19455,20542,21621
"Z(1, 1, 1, 1, 3, 2)",8352,9256,10167,11084,12003,12925,13849,14773,15696,16620,17543,18465,19386
"Z(1, 2, 0, 1, 0, 0)",8303,8103,7903,7705,7509,7316,7126,6940,6758,6579,6405,6236,6070
"Z(1, 2, 0, 1, 0, 1)",8303,8168,8022,7870,7714,7556,7398,7241,7085,6931,6780,6631,6487
"Z(1, 2, 0, 1, 0, 2)",8303,8068,7838,7612,7392,7178,6970,6768,6572,6383,6199,6022,5850
"Z(1, 2, 0, 1, 1, 0)",8303,8228,8146,8057,7964,7867,7767,7665,7561,7455,7349,7242,7134
"Z(1, 2, 0, 1, 1, 1)",8303,8353,8391,8419,8439,8450,8455,8454,8446,8434,8417,8397,8372
"Z(1, 2, 0, 1, 1, 2)",8303,8154,8007,7862,7719,7579,7440,7303,7169,7037,6906,6778,6652
"Z(1, 2, 0, 1, 2, 0)",8303,8206,8105,8000,7893,7784,7674,7563,7453,7342,7232,7123,7014
"Z(1, 2, 0, 1, 2, 1)",8303,8293,8265,8225,8175,8117,8053,7985,7913,7839,7763,7686,7609
"Z(1, 2, 0, 1, 2, 2)",8303,8171,8032,7890,7745,7600,7454,7310,7167,7027,6888,6752,6619
"Z(1, 2, 0, 1, 3, 0)",8303,8275,8240,8199,8153,8103,8050,7995,7937,7878,7817,7755,7692
"Z(1, 2, 0, 1, 3, 1)",8303,8314,8306,8283,8249,8205,8154,8097,8036,7971,7904,7835,7765
"Z(1, 2, 0, 1, 3, 2)",8303,8143,7976,7806,7634,7462,7290,7119,6951,6785,6622,6463,6307
"Z(1, 2, 1, 0, 0, 0)",8262,8090,7917,7744,7572,7402,7234,7069,6906,6747,6590,6437,6287
"Z(1, 2, 1, 0, 0, 1)",8262,8153,8033,7905,7772,7635,7496,7357,7218,7080,6943,6808,6676
"Z(1, 2, 1, 0, 0, 2)",8262,8186,8105,8020,7933,7843,7752,7660,7567,7474,7381,7288,7195
"Z(1, 2, 1, 0, 1, 0)",8262,8217,8164,8104,8039,7970,7897,7821,7742,7661,7579,7495,7410
"Z(1, 2, 1, 0, 1, 1)",8262,8364,8454,8533,8603,8663,8715,8760,8798,8829,8855,8876,8891
"Z(1, 2, 1, 0, 1, 2)",8262,8342,8417,8488,8555,8616,8674,8727,8776,8820,8861,8898,8931
"Z(1, 2, 1, 0, 2, 0)",8262,8195,8123,8047,7968,7886,7803,7719,7633,7547,7461,7375,7288
"Z(1, 2, 1, 0, 2, 1)",8262,8283,8287,8277,8257,8228,8192,8151,8105,8057,8006,7953,7899
"Z(1, 2, 1, 0, 2, 2)",8262,8265,8258,8242,8220,8193,8162,8128,8091,8053,8013,7972,7930
"Z(1, 2, 1, 0, 3, 0)",8262,8269,8268,8262,8250,8234,8214,8191,8166,8138,8109,8078,8046
"Z(1, 2, 1, 0, 3, 1)",8262,8311,8341,8355,8355,8346,8328,8303,8272,8237,8199,8157,8114
"Z(1, 2, 1, 0, 3, 2)",8262,8241,8208,8164,8112,8053,7989,7921,7850,7776,7700,7623,7544
"Z(1, 2, 1, 1, 0, 0)",8352,8191,8029,7866,7704,7543,7383,7225,7070,6917,6766,6619,6474
"Z(1, 2, 1, 1, 0, 1)",8352,8256,8146,8028,7904,7775,7644,7511,7378,7245,7113,6983,6854
"Z(1, 2, 1, 1, 0, 2)",8352,8359,8356,8344,8325,8299,8267,8230,8188,8142,8093,8041,7986
"Z(1, 2, 1, 1, 1, 0)",8352,8321,8281,8234,8182,8124,8063,7998,7930,7859,7786,7712,7636
"Z(1, 2, 1, 1, 1, 1)",8352,8481,8597,8701,8794,8878,8952,9018,9077,9128,9173,9212,9245
"Z(1, 2, 1, 1, 1, 2)",8352,8545,8730,8907,9075,9236,9388,9533,9670,9800,9923,10038,10147
"Z(1, 2, 1, 1, 2, 0)",8352,8299,8240,8176,8109,8039,7967,7894,7819,7743,7666,7589,7512
"Z(1, 2, 1, 1, 2, 1)",8352,8389,8407,8411,8403,8387,8363,8333,8299,8261,8220,8177,8132
"Z(1, 2, 1, 1, 2, 2)",8352,8422,8478,8523,8560,8589,8613,8631,8644,8654,8660,8663,8664
"Z(1, 2, 1, 1, 3, 0)",8352,8376,8391,8401,8405,8404,8399,8391,8379,8366,8350,8332,8313
"Z(1, 2, 1, 1, 3, 1)",8352,8420,8467,8498,8514,8520,8516,8505,8487,8464,8437,8407,8374
"Z(1, 2, 1, 1, 3, 2)",8352,8400,8431,8449,8454,8450,8438,8418,8393,8362,8326,8286,8243
"Z(2, 0, 0, 1, 0, 0)",8303,8036,7780,7535,7301,7076,6861,6654,6455,6263,6079,5902,5730
"Z(2, 0, 0, 1, 0, 1)",8303,7923,7569,7239,6930,6641,6368,6112,5869,5640,5422,5216,5020
"Z(2, 0, 0, 1, 0, 2)",8303,8119,7943,7773,7611,7455,7304,7159,7019,6884,6753,6627,6504
"Z(2, 0, 0, 1, 1, 0)",8303,8041,7790,7550,7321,7100,6889,6686,6490,6303,6122,5948,5780
"Z(2, 0, 0, 1, 1, 1)",8303,8034,7777,7531,7296,7071,6856,6648,6450,6258,6074,5897,5726
"Z(2, 0, 0, 1, 1, 2)",8303,8247,8191,8135,8078,8021,7964,7907,7851,7794,7737,7680,7623
"Z(2, 0, 0, 1, 2, 0)",8303,8047,7801,7565,7339,7122,6914,6714,6521,6335,6156,5984,5817
"Z(2, 0, 0, 1, 2, 1)",8303,7900,7524,7172,6842,6532,6241,5965,5705,5459,5226,5005,4795
"Z(2, 0, 0, 1, 2, 2)",8303,7956,7628,7318,7024,6745,6480,6228,5988,5760,5541,5332,5133
"Z(2, 0, 0, 1, 3, 0)",8303,8020,7749,7491,7244,7009,6783,6567,6359,6160,5970,5787,5611
"Z(2, 0, 0, 1, 3, 1)",8303,7882,7490,7124,6780,6458,6155,5870,5601,5347,5106,4878,4662
