,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 0, 1, 1, 1, 0)",126324,151273,147312,143513,139867,136363,132991,129743,126611,123589,120671,117850,115122,112482
"Z(2, 0, 1, 1, 1, 1)",126324,151273,146393,141740,137296,133047,128977,125076,121333,117737,114279,110953,107750,104664
"Z(2, 0, 1, 1, 1, 2)",126324,151273,151553,151811,152048,152265,152462,152641,152803,152947,153075,153186,153283,153365
"Z(2, 0, 1, 1, 2, 0)",126324,151273,147428,143736,140186,136770,133478,130302,127236,124273,121408,118635,115950,113349
"Z(2, 0, 1, 1, 2, 1)",126324,151273,143940,137106,130718,124730,119104,113807,108811,104091,99625,95394,91382,87571
"Z(2, 0, 1, 1, 2, 2)",126324,151273,145540,140116,134973,130088,125438,121006,116776,112733,108865,105160,101609,98203
"Z(2, 0, 1, 1, 3, 0)",126324,151273,146929,142773,138792,134976,131312,127794,124411,121157,118024,115006,112097,109291
"Z(2, 0, 1, 1, 3, 1)",126324,151273,143622,136496,129839,123605,117755,112255,107073,102186,97568,93201,89066,85147
"Z(2, 0, 1, 1, 3, 2)",126324,151273,144873,138844,133152,127768,122665,117822,113219,108838,104665,100685,96886,93257
"Z(2, 1, 0, 1, 0, 0)",126324,151273,148546,145729,142852,139938,137006,134069,131141,128231,125347,122495,119680,116906
"Z(2, 1, 0, 1, 0, 1)",126324,151273,150571,149498,148149,146584,144854,142996,141045,139025,136958,134860,132744,130625
"Z(2, 1, 0, 1, 0, 2)",126324,151273,148330,145364,142395,139436,136499,133593,130725,127901,125124,122397,119722,117101
"Z(2, 1, 0, 1, 1, 0)",126324,151273,150922,150348,149586,148663,147603,146424,145143,143776,142335,140831,139272,137669
"Z(2, 1, 0, 1, 1, 1)",126324,151273,153429,155308,156935,158335,159528,160533,161367,162043,162576,162976,163255,163421
"Z(2, 1, 0, 1, 1, 2)",126324,151273,150777,150249,149689,149098,148478,147828,147151,146447,145718,144964,144187,143388
"Z(2, 1, 0, 1, 2, 0)",126324,151273,150446,149455,148329,147091,145760,144352,142881,141358,139793,138194,136568,134921
"Z(2, 1, 0, 1, 2, 1)",126324,151273,152338,152923,153127,153014,152640,152051,151284,150368,149331,148192,146970,145683
"Z(2, 1, 0, 1, 2, 2)",126324,151273,149921,148322,146539,144613,142581,140468,138299,136090,133859,131616,129373,127138
"Z(2, 1, 0, 1, 3, 0)",126324,151273,152233,152938,153425,153720,153849,153833,153688,153429,153071,152625,152100,151505
"Z(2, 1, 0, 1, 3, 1)",126324,151273,152878,153960,154616,154915,154913,154658,154188,153535,152727,151785,150728,149576
"Z(2, 1, 0, 1, 3, 2)",126324,151273,150124,148689,147036,145208,143243,141172,139018,136801,134539,132244,129927,127602
"Z(2, 1, 1, 0, 0, 0)",126324,151273,149041,146701,144282,141807,139295,136761,134216,131672,129137,126617,124117,121642
"Z(2, 1, 1, 0, 0, 1)",126324,151273,150582,149523,148188,146638,144924,143084,141151,139151,137104,135027,132933,130837
"Z(2, 1, 1, 0, 0, 2)",126324,151273,148978,146658,144332,142012,139708,137430,135182,132969,130795,128660,126568,124518
"Z(2, 1, 1, 0, 1, 0)",126324,151273,151470,151439,151213,150817,150274,149604,148821,147941,146975,145935,144828,143664
"Z(2, 1, 1, 0, 1, 1)",126324,151273,153445,155342,156990,158412,159629,160660,161521,162227,162791,163224,163537,163739
"Z(2, 1, 1, 0, 1, 2)",126324,151273,151625,151946,152236,152495,152724,152924,153094,153236,153350,153438,153500,153536
"Z(2, 1, 1, 0, 2, 0)",126324,151273,150991,150537,149940,149222,148400,147492,146510,145465,144367,143224,142042,140828
"Z(2, 1, 1, 0, 2, 1)",126324,151273,152351,152950,153168,153072,152715,152144,151396,150501,149485,148368,147168,145904
"Z(2, 1, 1, 0, 2, 2)",126324,151273,150422,149321,148031,146594,145045,143411,141713,139970,138194,136398,134591,132781
"Z(2, 1, 1, 0, 3, 0)",126324,151273,152897,154269,155421,156382,157174,157817,158327,158720,159008,159201,159309,159341
"Z(2, 1, 1, 0, 3, 1)",126324,151273,152893,153992,154666,154984,155003,154769,154323,153694,152911,151995,150966,149842
"Z(2, 1, 1, 0, 3, 2)",126324,151273,150674,149776,148645,147328,145861,144274,142590,140830,139009,137140,135233,133300
"Z(2, 1, 1, 1, 0, 0)",126324,151273,149279,147166,144965,142698,140383,138037,135672,133297,130922,128553,126196,123855
"Z(2, 1, 1, 1, 0, 1)",126324,151273,150577,149513,148174,146622,144906,143066,141133,139133,137088,135013,132922,130830
"Z(2, 1, 1, 1, 0, 2)",126324,151273,149229,147166,145100,143043,141004,138990,137005,135054,133137,131258,129417,127614
"Z(2, 1, 1, 1, 1, 0)",126324,151273,151726,151948,151970,151819,151514,151077,150522,149863,149112,148280,147376,146408
"Z(2, 1, 1, 1, 1, 1)",126324,151273,153439,155331,156975,158394,159609,160639,161501,162208,162773,163209,163526,163733
"Z(2, 1, 1, 1, 1, 2)",126324,151273,152014,152722,153398,154043,154656,155237,155788,156309,156801,157263,157698,158105
"Z(2, 1, 1, 1, 2, 0)",126324,151273,151246,151043,150691,150213,149626,148947,148187,147359,146471,145532,144548,143526
"Z(2, 1, 1, 1, 2, 1)",126324,151273,152344,152938,153152,153051,152692,152120,151370,150474,149458,148342,147144,145882
"Z(2, 1, 1, 1, 2, 2)",126324,151273,150603,149692,148598,147362,146017,144588,143097,141558,139987,138392,136781,135165
"Z(2, 1, 1, 1, 3, 0)",126324,151273,153205,154885,156344,157609,158703,159645,160451,161136,161711,162188,162575,162882
"Z(2, 1, 1, 1, 3, 1)",126324,151273,152886,153981,154651,154966,154983,154748,154301,153673,152891,151977,150951,149830
"Z(2, 1, 1, 1, 3, 2)",126324,151273,150882,150196,149279,148176,146922,145545,144070,142513,140891,139215,137494,135741
