,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 0, 0, 1)",122542,146744,143463,140331,137335,134465,131711,129063,126515,124059,121688,119398,117182,115038
"U(2, 0, 0, 2)",122542,146744,145596,144437,143270,142095,140912,139724,138529,137331,136128,134922,133714,132504
"U(2, 0, 1, 0)",122542,146744,143010,139393,135888,132491,129196,126001,122901,119893,116974,114140,111388,108716
"U(2, 0, 1, 1)",122542,146744,143859,141062,138349,135714,133155,130668,128249,125896,123605,121374,119201,117082
"U(2, 0, 1, 2)",122542,146744,144288,141875,139504,137174,134884,132634,130422,128248,126112,124011,121946,119916
"U(2, 0, 2, 0)",122542,146744,143227,139811,136491,133264,130128,127078,124111,121225,118418,115686,113026,110437
"U(2, 0, 2, 1)",122542,146744,142748,138918,135240,131706,128305,125030,121872,118825,115883,113039,110288,107626
"U(2, 0, 2, 2)",122542,146744,142960,139289,135726,132267,128908,125647,122478,119400,116408,113500,110673,107924
"U(2, 0, 3, 0)",122542,146744,142529,138460,134531,130737,127071,123529,120105,116796,113596,110502,107508,104612
"U(2, 0, 3, 1)",122542,146744,141988,137447,133106,128952,124972,121156,117494,113975,110592,107338,104204,101185
"U(2, 0, 3, 2)",122542,146744,141814,137084,132542,128180,123988,119959,116083,112353,108764,105307,101977,98768
"U(2, 1, 0, 0)",122542,146744,142778,138917,135160,131505,127949,124492,121132,117866,114691,111607,108611,105700
"U(2, 1, 0, 1)",122542,146744,145461,144115,142726,141302,139852,138386,136911,135434,133961,132495,131040,129599
"U(2, 1, 0, 2)",122542,146744,136806,127602,119070,111165,103843,97061,90780,84962,79570,74571,69931,65621
"U(2, 1, 1, 0)",122542,146744,145362,143922,142429,140892,139314,137701,136059,134392,132704,130998,129279,127550
"U(2, 1, 1, 1)",122542,146744,148004,149152,150196,151144,152001,152773,153467,154086,154637,155123,155547,155915
"U(2, 1, 1, 2)",122542,146744,137467,128835,120800,113323,106366,99893,93870,88266,83049,78192,73665,69445
"U(2, 1, 2, 0)",122542,146744,144849,142960,141078,139205,137343,135494,133657,131835,130029,128239,126465,124708
"U(2, 1, 2, 1)",122542,146744,147432,147979,148405,148720,148939,149073,149132,149124,149058,148941,148777,148573
"U(2, 1, 2, 2)",122542,146744,138156,130116,122587,115536,108935,102756,96971,91556,86484,81732,77279,73102
