,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 0, 3, 1)",17508,17508,17508,17508,17508,17508,17508,17508,17508,17508,17508,17508,17508,17508
"Z(0, 1, 1, 0, 3, 2)",22334,22334,22334,22334,22334,22334,22334,22334,22334,22334,22334,22334,22334,22334
"Z(0, 1, 1, 1, 0, 0)",15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078
"Z(0, 1, 1, 1, 0, 1)",15266,15266,15266,15266,15266,15266,15266,15266,15266,15266,15266,15266,15266,15266
"Z(0, 1, 1, 1, 0, 2)",15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320
"Z(0, 1, 1, 1, 1, 0)",17594,17594,17594,17594,17594,17594,17594,17594,17594,17594,17594,17594,17594,17594
"Z(0, 1, 1, 1, 1, 1)",13307,13307,13307,13307,13307,13307,13307,13307,13307,13307,13307,13307,13307,13307
"Z(0, 1, 1, 1, 1, 2)",17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706
"Z(0, 1, 1, 1, 2, 0)",17042,17042,17042,17042,17042,17042,17042,17042,17042,17042,17042,17042,17042,17042
"Z(0, 1, 1, 1, 2, 1)",14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285
"Z(0, 1, 1, 1, 2, 2)",19994,19994,19994,19994,19994,19994,19994,19994,19994,19994,19994,19994,19994,19994
"Z(0, 1, 1, 1, 3, 0)",20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100
"Z(0, 1, 1, 1, 3, 1)",17713,17713,17713,17713,17713,17713,17713,17713,17713,17713,17713,17713,17713,17713
"Z(0, 1, 1, 1, 3, 2)",23575,23575,23575,23575,23575,23575,23575,23575,23575,23575,23575,23575,23575,23575
"Z(0, 2, 0, 1, 0, 0)",9940,9940,9940,9940,9940,9940,9940,9940,9940,9940,9940,9940,9940,9940
"Z(0, 2, 0, 1, 0, 1)",8413,8413,8413,8413,8413,8413,8413,8413,8413,8413,8413,8413,8413,8413
"Z(0, 2, 0, 1, 0, 2)",10814,10814,10814,10814,10814,10814,10814,10814,10814,10814,10814,10814,10814,10814
"Z(0, 2, 0, 1, 1, 0)",10013,10013,10013,10013,10013,10013,10013,10013,10013,10013,10013,10013,10013,10013
"Z(0, 2, 0, 1, 1, 1)",10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361
"Z(0, 2, 0, 1, 1, 2)",11166,11166,11166,11166,11166,11166,11166,11166,11166,11166,11166,11166,11166,11166
"Z(0, 2, 0, 1, 2, 0)",10103,10103,10103,10103,10103,10103,10103,10103,10103,10103,10103,10103,10103,10103
"Z(0, 2, 0, 1, 2, 1)",8810,8810,8810,8810,8810,8810,8810,8810,8810,8810,8810,8810,8810,8810
"Z(0, 2, 0, 1, 2, 2)",8139,8139,8139,8139,8139,8139,8139,8139,8139,8139,8139,8139,8139,8139
"Z(0, 2, 0, 1, 3, 0)",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"Z(0, 2, 0, 1, 3, 1)",7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563
