,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 0, 0, 1, 1, 2)",7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650,7650
"Z(1, 0, 0, 1, 2, 0)",8234,8234,8234,8234,8234,8234,8234,8234,8234,8234,8234,8234,8234,8234
"Z(1, 0, 0, 1, 2, 1)",7708,7708,7708,7708,7708,7708,7708,7708,7708,7708,7708,7708,7708,7708
"Z(1, 0, 0, 1, 2, 2)",9875,9875,9875,9875,9875,9875,9875,9875,9875,9875,9875,9875,9875,9875
"Z(1, 0, 0, 1, 3, 0)",9456,9456,9456,9456,9456,9456,9456,9456,9456,9456,9456,9456,9456,9456
"Z(1, 0, 0, 1, 3, 1)",8801,8801,8801,8801,8801,8801,8801,8801,8801,8801,8801,8801,8801,8801
"Z(1, 0, 0, 1, 3, 2)",11927,11927,11927,11927,11927,11927,11927,11927,11927,11927,11927,11927,11927,11927
"Z(1, 0, 1, 0, 0, 0)",7494,7494,7494,7494,7494,7494,7494,7494,7494,7494,7494,7494,7494,7494
"Z(1, 0, 1, 0, 0, 1)",7581,7581,7581,7581,7581,7581,7581,7581,7581,7581,7581,7581,7581,7581
"Z(1, 0, 1, 0, 0, 2)",7978,7978,7978,7978,7978,7978,7978,7978,7978,7978,7978,7978,7978,7978
"Z(1, 0, 1, 0, 1, 0)",8950,8950,8950,8950,8950,8950,8950,8950,8950,8950,8950,8950,8950,8950
"Z(1, 0, 1, 0, 1, 1)",6747,6747,6747,6747,6747,6747,6747,6747,6747,6747,6747,6747,6747,6747
"Z(1, 0, 1, 0, 1, 2)",8129,8129,8129,8129,8129,8129,8129,8129,8129,8129,8129,8129,8129,8129
"Z(1, 0, 1, 0, 2, 0)",8709,8709,8709,8709,8709,8709,8709,8709,8709,8709,8709,8709,8709,8709
"Z(1, 0, 1, 0, 2, 1)",7699,7699,7699,7699,7699,7699,7699,7699,7699,7699,7699,7699,7699,7699
"Z(1, 0, 1, 0, 2, 2)",10465,10465,10465,10465,10465,10465,10465,10465,10465,10465,10465,10465,10465,10465
"Z(1, 0, 1, 0, 3, 0)",10105,10105,10105,10105,10105,10105,10105,10105,10105,10105,10105,10105,10105,10105
"Z(1, 0, 1, 0, 3, 1)",8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
"Z(1, 0, 1, 0, 3, 2)",12776,12776,12776,12776,12776,12776,12776,12776,12776,12776,12776,12776,12776,12776
