,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 0, 0, 1, 2, 2)",8059,8059,8059,8059,8059,8059,8059,8059,8059,8059,8059,8059,8059,8059
"Z(1, 0, 0, 1, 3, 0)",9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029
"Z(1, 0, 0, 1, 3, 1)",9222,9222,9222,9222,9222,9222,9222,9222,9222,9222,9222,9222,9222,9222
"Z(1, 0, 0, 1, 3, 2)",10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032
"Z(1, 0, 1, 0, 0, 0)",6884,6884,6884,6884,6884,6884,6884,6884,6884,6884,6884,6884,6884,6884
"Z(1, 0, 1, 0, 0, 1)",7515,7515,7515,7515,7515,7515,7515,7515,7515,7515,7515,7515,7515,7515
"Z(1, 0, 1, 0, 0, 2)",5859,5859,5859,5859,5859,5859,5859,5859,5859,5859,5859,5859,5859,5859
"Z(1, 0, 1, 0, 1, 0)",8409,8409,8409,8409,8409,8409,8409,8409,8409,8409,8409,8409,8409,8409
"Z(1, 0, 1, 0, 1, 1)",7368,7368,7368,7368,7368,7368,7368,7368,7368,7368,7368,7368,7368,7368
"Z(1, 0, 1, 0, 1, 2)",7604,7604,7604,7604,7604,7604,7604,7604,7604,7604,7604,7604,7604,7604
"Z(1, 0, 1, 0, 2, 0)",8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194,8194
"Z(1, 0, 1, 0, 2, 1)",7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789
"Z(1, 0, 1, 0, 2, 2)",8527,8527,8527,8527,8527,8527,8527,8527,8527,8527,8527,8527,8527,8527
"Z(1, 0, 1, 0, 3, 0)",9647,9647,9647,9647,9647,9647,9647,9647,9647,9647,9647,9647,9647,9647
"Z(1, 0, 1, 0, 3, 1)",9206,9206,9206,9206,9206,9206,9206,9206,9206,9206,9206,9206,9206,9206
"Z(1, 0, 1, 0, 3, 2)",10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682
"Z(1, 0, 1, 1, 0, 0)",7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780
"Z(1, 0, 1, 1, 0, 1)",7613,7613,7613,7613,7613,7613,7613,7613,7613,7613,7613,7613,7613,7613
"Z(1, 0, 1, 1, 0, 2)",6682,6682,6682,6682,6682,6682,6682,6682,6682,6682,6682,6682,6682,6682
"Z(1, 0, 1, 1, 1, 0)",9630,9630,9630,9630,9630,9630,9630,9630,9630,9630,9630,9630,9630,9630
"Z(1, 0, 1, 1, 1, 1)",7470,7470,7470,7470,7470,7470,7470,7470,7470,7470,7470,7470,7470,7470
"Z(1, 0, 1, 1, 1, 2)",8729,8729,8729,8729,8729,8729,8729,8729,8729,8729,8729,8729,8729,8729
"Z(1, 0, 1, 1, 2, 0)",9387,9387,9387,9387,9387,9387,9387,9387,9387,9387,9387,9387,9387,9387
"Z(1, 0, 1, 1, 2, 1)",7896,7896,7896,7896,7896,7896,7896,7896,7896,7896,7896,7896,7896,7896
"Z(1, 0, 1, 1, 2, 2)",9793,9793,9793,9793,9793,9793,9793,9793,9793,9793,9793,9793,9793,9793
"Z(1, 0, 1, 1, 3, 0)",11240,11240,11240,11240,11240,11240,11240,11240,11240,11240,11240,11240,11240,11240
"Z(1, 0, 1, 1, 3, 1)",9340,9340,9340,9340,9340,9340,9340,9340,9340,9340,9340,9340,9340,9340
"Z(1, 0, 1, 1, 3, 2)",12460,12460,12460,12460,12460,12460,12460,12460,12460,12460,12460,12460,12460,12460
"Z(1, 1, 0, 1, 0, 0)",7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109
"Z(1, 1, 0, 1, 0, 1)",10708,10708,10708,10708,10708,10708,10708,10708,10708,10708,10708,10708,10708,10708
"Z(1, 1, 0, 1, 0, 2)",5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761
"Z(1, 1, 0, 1, 1, 0)",9073,9073,9073,9073,9073,9073,9073,9073,9073,9073,9073,9073,9073,9073
"Z(1, 1, 0, 1, 1, 1)",11481,11481,11481,11481,11481,11481,11481,11481,11481,11481,11481,11481,11481,11481
"Z(1, 1, 0, 1, 1, 2)",7544,7544,7544,7544,7544,7544,7544,7544,7544,7544,7544,7544,7544,7544
"Z(1, 1, 0, 1, 2, 0)",8828,8828,8828,8828,8828,8828,8828,8828,8828,8828,8828,8828,8828,8828
"Z(1, 1, 0, 1, 2, 1)",13076,13076,13076,13076,13076,13076,13076,13076,13076,13076,13076,13076,13076,13076
"Z(1, 1, 0, 1, 2, 2)",8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613
"Z(1, 1, 0, 1, 3, 0)",10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664,10664
"Z(1, 1, 0, 1, 3, 1)",16698,16698,16698,16698,16698,16698,16698,16698,16698,16698,16698,16698,16698,16698
"Z(1, 1, 0, 1, 3, 2)",11269,11269,11269,11269,11269,11269,11269,11269,11269,11269,11269,11269,11269,11269
"Z(1, 1, 1, 0, 0, 0)",7511,7511,7511,7511,7511,7511,7511,7511,7511,7511,7511,7511,7511,7511
"Z(1, 1, 1, 0, 0, 1)",10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682,10682
"Z(1, 1, 1, 0, 0, 2)",6116,6116,6116,6116,6116,6116,6116,6116,6116,6116,6116,6116,6116,6116
"Z(1, 1, 1, 0, 1, 0)",9627,9627,9627,9627,9627,9627,9627,9627,9627,9627,9627,9627,9627,9627
"Z(1, 1, 1, 0, 1, 1)",11456,11456,11456,11456,11456,11456,11456,11456,11456,11456,11456,11456,11456,11456
"Z(1, 1, 1, 0, 1, 2)",8090,8090,8090,8090,8090,8090,8090,8090,8090,8090,8090,8090,8090,8090
"Z(1, 1, 1, 0, 2, 0)",9368,9368,9368,9368,9368,9368,9368,9368,9368,9368,9368,9368,9368,9368
"Z(1, 1, 1, 0, 2, 1)",13047,13047,13047,13047,13047,13047,13047,13047,13047,13047,13047,13047,13047,13047
"Z(1, 1, 1, 0, 2, 2)",9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642,9642
"Z(1, 1, 1, 0, 3, 0)",11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405
"Z(1, 1, 1, 0, 3, 1)",16669,16669,16669,16669,16669,16669,16669,16669,16669,16669,16669,16669,16669,16669
"Z(1, 1, 1, 0, 3, 2)",12890,12890,12890,12890,12890,12890,12890,12890,12890,12890,12890,12890,12890,12890
"Z(1, 1, 1, 1, 0, 0)",8556,8556,8556,8556,8556,8556,8556,8556,8556,8556,8556,8556,8556,8556
