,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 1, 1, 3, 1)",411,391,372,355,339,323,309,296,283,272,261,250,240,231
"Z(0, 2, 1, 1, 3, 2)",10035,9807,9594,9393,9204,9028,8863,8709,8559,8418,8284,8158,8039,7927
"Z(1, 0, 0, 1, 0, 0)",33352,32570,31827,31132,30491,29897,29350,28846,28382,27960,27577,27164,26737,26346
"Z(1, 0, 0, 1, 0, 1)",8513,8268,8039,7825,7626,7440,7265,7101,6946,6800,6662,6532,6408,6291
"Z(1, 0, 0, 1, 0, 2)",2892,2784,2682,2587,2498,2415,2337,2263,2193,2127,2064,2005,1948,1895
"Z(1, 0, 0, 1, 1, 0)",35745,35875,35906,35856,35748,35576,35361,35115,34845,34560,34260,33948,33626,33305
"Z(1, 0, 0, 1, 1, 1)",10656,10359,10083,9824,9583,9358,9148,8949,8762,8587,8421,8264,8115,7975
"Z(1, 0, 0, 1, 1, 2)",6555,6309,6078,5861,5658,5467,5287,5118,4956,4804,4660,4522,4391,4267
"Z(1, 0, 0, 1, 2, 0)",30053,29364,28724,28128,27561,27023,26523,26055,25617,25209,24828,24452,24083,23740
"Z(1, 0, 0, 1, 2, 1)",10591,10253,9937,9641,9365,9107,8864,8636,8420,8218,8026,7844,7672,7509
"Z(1, 0, 0, 1, 2, 2)",14053,13532,13042,12582,12150,11744,11360,10997,10652,10326,10015,9719,9437,9169
"Z(1, 0, 0, 1, 3, 0)",35903,35918,35893,35836,35757,35660,35546,35416,35273,35121,34961,34792,34615,34439
"Z(1, 0, 0, 1, 3, 1)",21626,20983,20379,19812,19281,18782,18312,17868,17446,17047,16669,16309,15965,15640
"Z(1, 0, 0, 1, 3, 2)",36146,36130,36109,36086,36066,36046,36026,36003,35977,35832,35675,35521,35369,35227
"Z(1, 0, 1, 0, 0, 0)",30541,29832,29154,28532,27966,27451,26981,26537,26044,25592,25177,24795,24443,24126
"Z(1, 0, 1, 0, 0, 1)",8795,8542,8307,8086,7881,7689,7509,7340,7180,7029,6888,6753,6625,6505
"Z(1, 0, 1, 0, 0, 2)",4031,3899,3775,3659,3550,3448,3352,3262,3176,3095,3018,2945,2875,2809
"Z(1, 0, 1, 0, 1, 0)",33780,33215,32503,31812,31166,30567,30011,29491,29006,28531,28068,27633,27223,26844
"Z(1, 0, 1, 0, 1, 1)",9789,9491,9213,8953,8710,8482,8269,8067,7877,7698,7528,7368,7215,7071
"Z(1, 0, 1, 0, 1, 2)",7316,7058,6816,6589,6376,6176,5988,5810,5641,5482,5331,5186,5049,4919
"Z(1, 0, 1, 0, 2, 0)",21997,21485,21007,20562,20150,19767,19410,19072,18743,18435,18146,17874,17616,17376
"Z(1, 0, 1, 0, 2, 1)",10193,9844,9516,9209,8922,8653,8400,8160,7934,7720,7517,7325,7141,6968
"Z(1, 0, 1, 0, 2, 2)",14694,14158,13654,13181,12737,12319,11924,11551,11196,10860,10541,10236,9946,9670
"Z(1, 0, 1, 0, 3, 0)",31152,30351,29602,28900,28246,27634,27060,26519,26008,25528,25074,24644,24234,23850
"Z(1, 0, 1, 0, 3, 1)",21218,20559,19939,19356,18810,18295,17809,17349,16911,16496,16102,15726,15365,15024
"Z(1, 0, 1, 0, 3, 2)",35971,35949,35926,35902,35883,35867,35851,35834,35814,35758,35604,35454,35306,35168
"Z(1, 0, 1, 1, 0, 0)",11991,11663,11356,11069,10801,10550,10315,10093,9883,9685,9499,9321,9153,8994
"Z(1, 0, 1, 1, 0, 1)",5431,5210,5004,4810,4629,4459,4299,4149,4006,3872,3744,3623,3508,3400
"Z(1, 0, 1, 1, 0, 2)",5236,5072,4919,4774,4640,4513,4393,4281,4174,4072,3976,3885,3798,3715
"Z(1, 0, 1, 1, 1, 0)",20052,19450,18886,18358,17864,17401,16966,16555,16166,15800,15453,15123,14808,14512
"Z(1, 0, 1, 1, 1, 1)",8138,7835,7550,7282,7031,6794,6572,6361,6161,5972,5792,5621,5458,5303
"Z(1, 0, 1, 1, 1, 2)",9525,9205,8905,8622,8358,8109,7874,7652,7442,7243,7053,6873,6701,6537
"Z(1, 0, 1, 1, 2, 0)",19687,19104,18557,18042,17561,17108,16682,16278,15895,15533,15189,14862,14549,14253
"Z(1, 0, 1, 1, 2, 1)",10215,9842,9492,9162,8854,8563,8290,8030,7784,7551,7330,7118,6917,6726
"Z(1, 0, 1, 1, 2, 2)",19007,18347,17726,17143,16595,16079,15591,15129,14690,14274,13878,13501,13139,12796
"Z(1, 0, 1, 1, 3, 0)",35912,35795,35654,35495,35327,35151,34968,34778,34582,34167,33636,33126,32547,31966
"Z(1, 0, 1, 1, 3, 1)",23071,22365,21702,21077,20490,19938,19416,18920,18449,18003,17577,17170,16781,16412
"Z(1, 0, 1, 1, 3, 2)",36760,36845,36929,37013,37102,37193,37286,37377,37466,37557,37646,37731,37812,37899
