,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 1, 1, 1, 2)",8272,8270,8268,8266,8264,8261,8258,8255,8252,8248,8244,8240,8236,8231
"Z(0, 2, 1, 1, 2, 0)",8403,8392,8379,8364,8348,8330,8311,8290,8268,8244,8219,8193,8166,8137
"Z(0, 2, 1, 1, 2, 1)",4186,4134,4083,4033,3985,3938,3891,3846,3802,3759,3717,3676,3635,3596
"Z(0, 2, 1, 1, 2, 2)",5177,5135,5094,5052,5011,4971,4931,4891,4852,4812,4774,4736,4698,4660
"Z(0, 2, 1, 1, 3, 0)",6877,6853,6827,6800,6772,6742,6712,6681,6648,6615,6582,6547,6512,6477
"Z(0, 2, 1, 1, 3, 1)",3558,3500,3443,3388,3335,3283,3232,3183,3135,3089,3043,2999,2956,2914
"Z(0, 2, 1, 1, 3, 2)",4046,3995,3946,3898,3851,3806,3762,3719,3677,3637,3597,3558,3521,3484
"Z(1, 0, 0, 1, 0, 0)",5212,5194,5178,5163,5151,5141,5133,5127,5122,5120,5119,5120,5122,5126
"Z(1, 0, 0, 1, 0, 1)",3314,3256,3198,3143,3088,3036,2984,2935,2886,2839,2793,2748,2705,2663
"Z(1, 0, 0, 1, 0, 2)",2429,2360,2293,2229,2168,2109,2052,1997,1944,1894,1845,1798,1753,1710
"Z(1, 0, 0, 1, 1, 0)",5451,5426,5400,5375,5350,5326,5302,5278,5255,5233,5210,5189,5168,5147
"Z(1, 0, 0, 1, 1, 1)",4958,4915,4872,4827,4783,4738,4692,4646,4600,4554,4508,4462,4416,4370
"Z(1, 0, 0, 1, 1, 2)",3281,3221,3161,3103,3045,2989,2933,2878,2824,2771,2718,2667,2617,2567
"Z(1, 0, 0, 1, 2, 0)",6241,6217,6190,6160,6128,6093,6056,6018,5977,5936,5893,5850,5805,5760
"Z(1, 0, 0, 1, 2, 1)",6118,6086,6052,6016,5977,5936,5894,5850,5805,5758,5711,5662,5613,5563
"Z(1, 0, 0, 1, 2, 2)",5060,5016,4970,4923,4874,4825,4774,4723,4671,4618,4565,4511,4457,4403
"Z(1, 0, 0, 1, 3, 0)",9704,9706,9706,9704,9698,9691,9681,9668,9654,9638,9620,9600,9578,9555
