,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 0, 2, 0)",16190,15936,15691,15459,15244,15040,14851,14672,14504,14338,14182,14033,13891,13757
"Z(0, 1, 1, 0, 2, 1)",15213,14912,14627,14358,14105,13863,13635,13417,13210,13012,12823,12641,12466,12297
"Z(0, 1, 1, 0, 2, 2)",8591,8373,8166,7971,7786,7609,7440,7280,7126,6979,6838,6702,6570,6444
"Z(0, 1, 1, 0, 3, 0)",17626,17755,17882,18006,18131,18250,18368,18483,18596,18704,18810,18911,19006,19098
"Z(0, 1, 1, 0, 3, 1)",17665,17813,17956,18095,18233,18364,18494,18621,18745,18866,18985,19099,19209,19316
"Z(0, 1, 1, 0, 3, 2)",17513,17622,17725,17821,17914,17999,18081,18157,18230,18297,18361,18386,18382,18377
"Z(0, 1, 1, 1, 0, 0)",16895,16809,16724,16639,16556,16465,16282,16082,15894,15717,15550,15392,15235,15081
"Z(0, 1, 1, 1, 0, 1)",8771,8592,8425,8267,8120,7980,7848,7724,7606,7495,7389,7288,7191,7099
"Z(0, 1, 1, 1, 0, 2)",7972,7803,7643,7492,7351,7215,7087,6965,6850,6739,6633,6532,6434,6340
"Z(0, 1, 1, 1, 1, 0)",17978,18166,18347,18523,18696,18859,19018,19171,19318,19457,19592,19717,19834,19944
"Z(0, 1, 1, 1, 1, 1)",15005,14699,14410,14137,13881,13635,13402,13181,12970,12767,12575,12389,12209,12037
"Z(0, 1, 1, 1, 1, 2)",17273,17171,17071,16979,16895,16813,16739,16668,16602,16537,16359,16170,15987,15810
"Z(0, 1, 1, 1, 2, 0)",17852,17990,18127,18261,18397,18527,18657,18785,18910,19032,19151,19265,19374,19480
"Z(0, 1, 1, 1, 2, 1)",16737,16602,16413,16165,15931,15705,15454,15210,14977,14753,14540,14334,14134,13941
"Z(0, 1, 1, 1, 2, 2)",17552,17587,17625,17667,17714,17761,17812,17865,17919,17974,18030,18085,18139,18193
"Z(0, 1, 1, 1, 3, 0)",18932,19394,19851,20305,20757,21203,21647,22086,22522,22952,23380,23800,24212,24620
"Z(0, 1, 1, 1, 3, 1)",17882,18036,18186,18333,18479,18620,18761,18899,19035,19168,19301,19430,19555,19678
"Z(0, 1, 1, 1, 3, 2)",18848,19284,19716,20146,20577,21002,21428,21853,22278,22700,23123,23542,23958,24373
