,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 1, 1, 1, 2, 0)",18968,18953,18948,18949,18952,18963,18976,18994,19002,18956,18912,18871,18831,18794
"Z(0, 1, 1, 1, 2, 1)",3901,3773,3656,3546,3444,3349,3260,3176,3097,3024,2954,2887,2824,2763
"Z(0, 1, 1, 1, 2, 2)",13527,13128,12760,12418,12098,11800,11520,11258,11011,10780,10559,10348,10147,9954
"Z(0, 1, 1, 1, 3, 0)",20086,20416,20743,21067,21383,21699,22011,22320,22629,22939,23242,23540,23833,24122
"Z(0, 1, 1, 1, 3, 1)",9418,9171,8945,8736,8541,8362,8194,8038,7892,7757,7629,7507,7391,7280
"Z(0, 1, 1, 1, 3, 2)",20675,21496,22182,22763,23257,23689,24064,24394,24687,24951,25181,25384,25562,25720
"Z(0, 2, 0, 1, 0, 0)",1358,1305,1256,1210,1167,1127,1090,1055,1022,992,963,935,909,884
"Z(0, 2, 0, 1, 0, 1)",471,449,430,411,394,378,363,349,336,323,312,301,290,280
"Z(0, 2, 0, 1, 0, 2)",2125,2045,1971,1903,1838,1778,1722,1669,1619,1572,1528,1485,1444,1406
"Z(0, 2, 0, 1, 1, 0)",1243,1193,1148,1106,1066,1029,995,963,932,904,876,851,826,803
"Z(0, 2, 0, 1, 1, 1)",1140,1091,1045,1002,963,926,891,858,828,799,771,745,721,697
"Z(0, 2, 0, 1, 1, 2)",3392,3268,3155,3049,2949,2857,2770,2688,2611,2539,2470,2404,2341,2281
"Z(0, 2, 0, 1, 2, 0)",2021,1949,1882,1820,1762,1708,1657,1609,1564,1522,1482,1443,1407,1372
"Z(0, 2, 0, 1, 2, 1)",534,512,491,471,453,436,420,405,391,378,366,354,343,332
"Z(0, 2, 0, 1, 2, 2)",1175,1133,1095,1059,1026,995,965,938,912,888,865,843,822,802
"Z(0, 2, 0, 1, 3, 0)",1774,1717,1665,1617,1571,1529,1490,1453,1418,1385,1354,1325,1296,1269
"Z(0, 2, 0, 1, 3, 1)",356,342,328,316,304,293,283,273,264,256,248,241,234,227
"Z(0, 2, 0, 1, 3, 2)",514,500,487,475,464,454,444,435,426,418,411,403,396,390
"Z(0, 2, 1, 0, 0, 0)",10541,10297,10080,9885,9708,9551,9409,9252,9109,8981,8864,8758,8661,8565
"Z(0, 2, 1, 0, 0, 1)",1380,1351,1324,1298,1273,1251,1231,1213,1197,1180,1163,1148,1134,1122
"Z(0, 2, 1, 0, 0, 2)",5442,5274,5120,4976,4842,4717,4599,4489,4386,4289,4196,4108,4023,3943
"Z(0, 2, 1, 0, 1, 0)",6291,6155,6031,5911,5800,5700,5609,5526,5451,5374,5301,5233,5170,5112
